City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
472,dekar,-21.5333,21.9333,21.63,60,53,1.71,BW,1673916683
473,taksimo,56.3444,114.8794,-31.23,91,75,1.27,RU,1673916684
474,skogn,63.7,11.2,-5.34,83,92,2.21,NO,1673916684
475,asau,46.4333,26.4,1.51,74,33,2.18,RO,1673916449
476,at-bashi,41.1702,75.8106,-22.75,48,0,1.59,KG,1673916685
477,loa janan,-0.583,117.095,27.81,76,92,0.44,ID,1673916686
478,hearst,49.6835,-83.6665,-0.86,94,100,2.66,CA,1673916686
479,praia,14.9215,-23.5087,23.56,74,100,3.7,CV,1673916123
480,raudeberg,61.9875,5.1352,0.49,70,100,3.54,NO,1673916687
481,ust-nera,64.5667,143.2,-30.18,98,100,3.17,RU,1673916687
482,aswan,24.0934,32.907,12.61,47,0,1.54,EG,1673916688
483,hambantota,6.1241,81.1185,24.19,100,20,2.06,LK,1673916688
484,turbat,26.0023,63.044,12.87,17,61,4.66,PK,1673916689
485,wenatchee,47.4235,-120.3103,3.61,89,0,0.89,US,1673916689
486,la cruz,23.9167,-106.9,19.18,76,0,1.91,MX,1673916690
487,yamethin,20.4333,96.15,16.2,49,0,1.55,MM,1673916690
488,charters towers,-20.1,146.2667,24.24,86,100,3.86,AU,1673916691
489,kutum,14.2,24.6667,12.13,32,13,2.77,SD,1673916691
490,nieuw amsterdam,5.8833,-55.0833,25.01,88,73,4.54,SR,1673916692
491,palana,59.1167,159.9667,-14.75,91,100,4.4,RU,1673916692
492,general salgado,-20.6483,-50.3606,22.74,88,100,2.94,BR,1673916693
493,abalak,58.1286,68.5944,-14.11,92,30,3.35,RU,1673916693
494,berkovica,44.6156,18.4294,7.95,82,98,2.26,BA,1673916694
495,lompoc,34.6391,-120.4579,10.22,94,75,7.72,US,1673916498
496,eldorado,-23.7869,-54.2836,27.27,65,84,1.41,BR,1673916678
497,veraval,20.9,70.3667,15.64,32,64,4.54,IN,1673916695
498,alofi,-19.0595,-169.9187,28.94,74,75,4.12,NU,1673916695
499,varnamo,57.186,14.04,2.93,85,100,6.15,SE,1673916696
500,avenal,36.0041,-120.129,7.87,73,100,1.8,US,1673916696
501,nanortalik,60.1432,-45.2371,-12.43,61,7,7.39,GL,1673916543
502,ouallam,14.3188,2.0866,18.68,16,29,4.93,NE,1673916697
503,paidha,2.4167,30.9855,17.39,47,76,2.04,UG,1673916697
504,christchurch,-43.5333,172.6333,19.71,70,100,5.14,NZ,1673916623
505,helong,42.5397,128.9972,-9.71,51,7,1.93,CN,1673916448
506,tuy hoa,13.0833,109.3,21.9,89,93,4.74,VN,1673916698
507,chaumont,48.1167,5.1333,1.32,93,92,3.05,FR,1673916699
508,carberry,49.8689,-99.3602,-8.87,94,100,4.02,CA,1673916699
509,harper,4.375,-7.7169,25.81,80,0,0.94,LR,1673916164
510,chadiza,-14.0678,32.4392,16.66,97,100,1.25,ZM,1673916700
511,chokwe,-24.5333,32.9833,22.95,88,100,1.81,MZ,1673916700
512,la ronge,55.1001,-105.2842,-18.25,100,99,1.47,CA,1673916701
513,tecoanapa,16.5167,-98.75,25.54,77,0,2.77,MX,1673916701
514,richards bay,-28.783,32.0377,21.98,91,84,4.03,ZA,1673916241
515,bindura,-17.3019,31.3306,18.1,97,100,1.6,ZW,1673916702
516,funchal,32.6333,-16.9,15.25,82,40,4.63,PT,1673916702
517,san quintin,30.4833,-115.95,14.8,84,97,6.79,MX,1673916481
518,grong,64.4654,12.3149,-5.4,97,93,2.21,NO,1673916703
519,sohag,26.557,31.6948,9.16,62,0,1.69,EG,1673916703
520,khuzdar,27.7384,66.6434,6.77,22,0,2.66,PK,1673916704
521,shingu,33.7333,135.9833,8.58,44,0,2.05,JP,1673916705
522,ambon,-3.6954,128.1814,28.44,73,100,1.49,ID,1673916161
523,ukiah,39.1502,-123.2078,9.72,71,0,4.63,US,1673916615
524,tripoli,32.8752,13.1875,14.21,45,1,8.43,LY,1673916706
525,arinos,-15.9169,-46.1056,20.47,81,2,0.78,BR,1673916706
526,aitape,-3.1374,142.3475,28.49,67,98,1.11,PG,1673916707
527,sai buri,6.7013,101.6168,26.09,78,40,2.14,TH,1673916707
528,tempio pausania,40.8974,9.1035,7.51,93,100,6.82,IT,1673916708
529,morros,-9.4467,-46.3003,22.22,84,100,1.55,BR,1673916709
530,kolokani,13.5728,-8.0339,20.05,16,7,4.23,ML,1673916709
531,yashkul,46.1711,45.3435,-2.56,77,7,4.13,RU,1673916709
532,bari sadri,24.4167,74.4667,5.87,38,0,2.9,IN,1673916710
533,macheng,31.1783,115.0319,0.82,55,3,0.63,CN,1673916710
534,dundee,56.5,-2.9667,-2.16,81,9,3.34,GB,1673916711
535,sur,22.5667,59.5289,19.65,67,23,1.54,OM,1673916711
536,chara,56.9064,118.2631,-35.28,86,94,0.61,RU,1673916711
537,mayor pablo lagerenza,-19.9309,-60.7718,27.38,56,84,2.32,PY,1673916712
538,ban nahin,18.2418,104.2122,15.91,74,5,2.12,LA,1673916713
539,lebanon,36.2081,-86.2911,11.81,92,75,5.66,US,1673916713
540,ranong,9.9658,98.6348,15.96,64,22,1.25,TH,1673916714
541,necochea,-38.5473,-58.7368,17.4,80,0,6.0,AR,1673916715
542,progreso,21.2833,-89.6667,22.29,77,5,5.42,MX,1673916715
543,khromtau,50.2503,58.4347,-19.95,74,0,1.65,KZ,1673916716
544,am timan,11.0297,20.2827,21.97,25,26,2.73,TD,1673916668
545,riohacha,11.5444,-72.9072,26.06,83,0,5.14,CO,1673916716
546,cadereyta,25.5833,-99.9833,27.32,33,0,2.69,MX,1673916718
547,anloga,5.7947,0.8973,27.28,78,10,2.33,GH,1673916718
548,grootfontein,-19.5667,18.1167,16.76,100,100,0.0,NA,1673916718
549,vanavara,60.34,102.2797,-30.72,97,100,3.81,RU,1673916719
550,llanes,43.4198,-4.7549,13.27,81,49,16.99,ES,1673916719
551,maua,-23.6678,-46.4614,22.73,93,100,1.6,BR,1673916345
552,pasni,25.2631,63.471,16.65,30,100,5.42,PK,1673916720
553,warri,5.5167,5.75,23.76,92,76,0.98,NG,1673916720
554,lykhivka,48.6874,33.9228,1.14,89,100,6.24,UA,1673916721
555,waipawa,-41.4122,175.5153,20.67,60,8,2.46,NZ,1673916721
556,corn island,12.1694,-83.0418,25.68,69,9,7.42,NI,1673916722
557,nardaran,40.5561,50.0056,7.8,76,100,4.12,AZ,1673916722
558,fairbanks,64.8378,-147.7164,-14.27,80,0,1.54,US,1673916600
559,eyl,7.9803,49.8164,22.96,76,25,6.42,SO,1673916494
560,salalah,17.0151,54.0924,20.06,81,70,0.69,OM,1673916663
561,kabin buri,13.9511,101.7177,24.73,60,14,1.26,TH,1673916723
562,mizdah,31.4451,12.9801,8.09,43,0,4.22,LY,1673916723
563,havelock,34.8791,-76.9013,6.92,62,100,0.45,US,1673916724
564,dhrol,22.5667,70.4167,11.66,38,5,3.9,IN,1673916724
565,dwarka,22.2394,68.9678,17.53,40,6,5.46,IN,1673916725
566,singaraja,-8.112,115.0882,27.49,79,100,0.16,ID,1673916725
567,korsor,55.3299,11.1386,3.88,100,100,9.93,DK,1673916726
568,pisco,-13.7,-76.2167,22.03,83,0,6.69,PE,1673916726
569,batemans bay,-35.7167,150.1833,23.94,53,0,5.24,AU,1673916588
570,cebu,10.3167,123.8907,25.81,89,75,1.54,PH,1673916727
571,tenenkou,14.4572,-4.9169,21.24,16,65,4.64,ML,1673916727
